seq,send_ts_ms,recv_ts_ms
1,120511757.621081,28539.338625
2,120517647.539199,34429.365333
3,120518009.62453,34793.073875
4,120518179.562489,34960.555291
5,120518479.115148,35350.879416
6,120519109.320313,35891.874041
7,120519557.126765,36339.952625
8,120519940.788524,36784.843291
9,120520083.903585,36865.057041
10,120520313.80617,37095.524791
11,120520436.795246,37219.787708
12,120520613.103579,37395.708583
13,120520713.713268,37495.111041
14,120520834.193792,37616.969166
15,120520935.617605,37717.38775
16,120521034.942301,37816.193833
17,120521133.087207,37914.688166
18,120521220.304457,38001.678958
19,120521281.832444,38063.084
20,120521335.939841,38117.321875
21,120521622.189387,38405.097833
22,120521647.224146,38428.325958
23,120521693.115189,38474.053416
24,120521752.604369,38533.990875
25,120521758.328644,38539.030416
26,120521789.649493,38570.404666
27,120521826.60182,38607.697
28,120521835.601315,38616.249583
29,120521877.483737,38658.881375
30,120521884.225394,38665.343666
31,120521885.419243,38665.886041
32,120521886.591299,38670.170875
33,120521903.651932,38684.925916
34,120521931.031336,38711.9935
35,120521959.306773,38740.66175
36,120521971.911495,38755.400958
37,120521977.577136,38758.312208
38,120522017.12741,38798.167125
39,120522051.469964,38832.409958
40,120522057.232057,38838.074375
41,120522067.75684,38848.444333
42,120522097.045472,38878.252416
43,120522128.123088,38909.28975
44,120522139.677602,38920.553291
45,120522143.099041,38923.783375
46,120522151.046587,38931.808375
47,120522171.720261,38953.078083
48,120522183.48239,38964.364375
49,120522195.634612,38976.574958
50,120522204.6864,38985.429541
51,120522211.26261,38992.50275
52,120522212.3501,38992.892541
53,120522226.745323,39007.606
54,120522249.812915,39031.176125
55,120522255.318287,39036.65875
56,120522257.522059,39038.034541
57,120522275.070289,39055.816916
58,120522313.068965,39094.693375
59,120522338.719936,39120.118875
60,120522342.226179,39122.854916
61,120522370.25449,39151.478958
62,120522403.410035,39184.8125
63,120522409.094722,39189.848583
64,120522433.667472,39215.387291
65,120522475.945054,39257.389333
66,120522478.217549,39258.799541
67,120522484.563959,39265.734916
68,120522485.670082,39266.28825
69,120522502.976524,39283.956958
70,120522523.468492,39304.840458
71,120522545.166247,39326.544333
72,120522548.433576,39329.001625
73,120522566.815803,39348.041291
74,120522580.980381,39362.078541
75,120522586.309002,39367.351791
76,120522609.162776,39390.213208
77,120522618.861432,39399.658125
78,120522624.233504,39405.147625
79,120522657.813715,39439.224375
80,120522664.320307,39444.969166
81,120522669.794611,39450.819
82,120522708.846085,39490.058541
83,120522718.547198,39499.263125
84,120522719.658875,39500.464208
85,120522766.283392,39547.541041
86,120522784.818071,39565.808166
87,120522818.366144,39599.566666
88,120522845.429654,39627.25775
89,120522846.530184,39628.106333
90,120522847.621551,39628.499208
91,120522876.583186,39658.443
92,120522888.078847,39668.8305
93,120522889.274947,39670.326291
94,120522902.385188,39683.18575
95,120522933.822894,39714.957
96,120522973.463496,39755.617166
97,120522979.357692,39761.183291
98,120523020.063321,39800.960625
99,120523025.438573,39806.198916
100,120523029.824397,39810.600541
101,120523040.779912,39823.111208
102,120523051.617127,39832.629791
103,120523057.089383,39837.802625
104,120523073.330956,39854.594958
