seq,send_ts_ms,rtt_ms,est_oneway_ms
1,122529832.145157,13.6383,6.81915
2,122529838.659723,11.742493,5.871246
3,122529840.851302,13.19734,6.59867
4,122529842.071566,14.302285,7.151142
5,122529844.098147,12.440744,6.220372
6,122529845.182318,11.396756,5.698378
7,122529846.199749,10.409352,5.204676
8,122529869.284348,25.896584,12.948292
9,122530261.746979,75.745757,37.872878
10,122530816.667699,31.71174,15.85587
11,122530900.166455,6.088306,3.044153
12,122531116.765388,38.662186,19.331093
13,122531121.571528,36.228612,18.114306
14,122531138.055642,19.817411,9.908705
15,122531195.790424,7.232692,3.616346
16,122531559.903612,27.334203,13.667101
17,122531574.263739,15.211566,7.605783
18,122531677.507873,7.056563,3.528281
19,122531690.814121,5.760676,2.880338
20,122531692.021248,8.149277,4.074638
21,122531749.284762,5.988544,2.994272
22,122531765.613612,8.02203,4.011015
23,122531792.574402,5.815344,2.907672
24,122531815.247406,5.89026,2.94513
25,122531940.07352,8.73535,4.367675
26,122531960.960149,5.516875,2.758437
27,122531962.148871,7.584864,3.792432
28,122531973.557039,7.867351,3.933675
29,122531975.865693,7.774606,3.887303
30,122532196.857052,7.721817,3.860908
31,122532203.270364,5.670533,2.835266
32,122532209.714675,5.656738,2.828369
33,122532226.52427,5.426261,2.71313
34,122532244.243058,6.696513,3.348256
35,122532246.49976,5.594765,2.797382
36,122532261.618734,5.537021,2.76851
37,122532276.62356,5.454322,2.727161
38,122532284.232498,5.492063,2.746031
39,122532317.753366,6.746161,3.37308
40,122532322.116974,9.917653,4.958826
41,122532739.637791,41.931295,20.965647
42,122532755.465949,26.183189,13.091594
43,122532761.993612,19.672081,9.83604
44,122532764.197741,17.483737,8.741868
45,122532768.54105,13.154184,6.577092
46,122532797.708182,5.546744,2.773372
47,122532809.377585,5.500479,2.750239
48,122533800.735706,7.672806,3.836403
49,122533904.667534,7.57805,3.789025
50,122533914.384287,10.878549,5.439274
51,122533948.914618,7.892046,3.946023
52,122534001.418914,6.780726,3.390363
53,122534012.519305,8.027674,4.013837
54,122534057.668002,5.905801,2.9529
55,122534074.511138,9.280972,4.640486
56,122534126.152481,6.223207,3.111603
57,122534134.230734,6.064892,3.032446
58,122534165.398494,6.052587,3.026293
59,122534490.477333,8.264069,4.132034
60,122534634.537482,10.64351,5.321755
61,122534724.96412,9.162365,4.581182
62,122534759.844972,5.954071,2.977035
63,122534956.062092,12.726268,6.363134
64,122534957.208344,11.746438,5.873219
65,122535081.535679,6.802616,3.401308
66,122535089.203036,9.027653,4.513826
67,122535250.811519,8.049891,4.024945
68,122535450.717337,8.474182,4.237091
69,122535468.067079,6.85307,3.426535
70,122535640.3308,9.993106,4.996553
71,122535832.435749,19.423778,9.711889
72,122535958.500873,7.345367,3.672683
73,122535973.398324,4.807614,2.403807
74,122536019.439824,7.150759,3.575379
75,122536656.460688,8.509599,4.254799
76,122537013.499371,10.792697,5.396348
77,122537506.969843,9.425915,4.712957
78,122538255.552071,8.59128,4.29564
79,122539056.885102,8.340472,4.170236
80,122539075.381882,7.023183,3.511591
81,122539307.195738,14.084271,7.042135
82,122539309.451051,14.1189,7.05945
83,122539556.685271,9.426117,4.713058
84,122539564.715148,5.88927,2.944635
85,122539745.583646,8.005025,4.002512
86,122539781.204436,6.900878,3.450439
87,122539957.974035,10.882277,5.441138
88,122539963.319592,5.603532,2.801766
89,122540125.586858,8.292748,4.146374
90,122540131.289164,8.275271,4.137635
91,122540234.253935,9.655097,4.827548
92,122540256.93411,10.351858,5.175929
93,122540390.363247,8.485008,4.242504
94,122540396.064653,5.337151,2.668575
95,122540476.447212,7.385736,3.692868
96,122540533.950835,10.862171,5.431085
97,122540624.051963,8.377853,4.188926
98,122540636.989515,7.034164,3.517082
99,122540738.221679,7.66664,3.83332
100,122540892.52421,9.807526,4.903763
101,122540997.503457,11.835743,5.917871
102,122541001.081355,9.502963,4.751481
103,122541148.509902,21.463817,10.731908
104,122541151.767842,18.354712,9.177356
105,122541262.123795,7.444243,3.722121
106,122541265.292888,7.92001,3.960005
107,122541430.658107,9.185501,4.59275
108,122541449.191324,7.182582,3.591291
109,122541556.557124,12.092532,6.046266
110,122541563.096462,9.128051,4.564025
111,122541738.530821,9.819731,4.909865
112,122541755.878916,6.692721,3.34636
113,122541871.655306,11.921584,5.960792
114,122541873.811825,11.041013,5.520506
115,122542019.414335,8.238784,4.119392
116,122542032.198686,6.07505,3.037525
117,122542203.54145,9.663909,4.831954
118,122542472.713064,23.538978,11.769489
119,122542706.088652,6.226041,3.11302
120,122542720.820363,6.990383,3.495191
121,122542886.728887,40.472864,20.236432
122,122543271.332546,9.484418,4.742209
123,122543496.543478,11.143314,5.571657
124,122543638.327553,9.768289,4.884144
125,122543706.674587,6.808733,3.404366
126,122543945.320921,10.247024,5.123512
127,122544220.289815,9.801927,4.900963
128,122544225.712066,8.877737,4.438868
129,122544249.554372,11.05371,5.526855
130,122544250.649554,10.051393,5.025696
131,122544251.717113,9.00741,4.503705
132,122544296.178737,7.587773,3.793886
133,122544297.219734,9.866159,4.933079
134,122544303.749042,8.691027,4.345513
135,122544314.596879,7.701071,3.850535
136,122544330.830709,11.501651,5.750825
137,122544453.433015,9.618339,4.809169
138,122544458.202133,7.071516,3.535758
139,122544478.777363,6.506342,3.253171
140,122544548.378814,6.106985,3.053492
141,122544549.466942,7.523634,3.761817
